"Country","Rep_date","Count","yrqtr","yrmon"
"Algeria",2024-11-30,12,2024 Q4,Nov 2024
"Angola",2022-04-30,11,2022 Q2,Apr 2022
"Angola",2022-05-31,11,2022 Q2,May 2022
"Angola",2022-06-30,11,2022 Q2,Jun 2022
"Angola",2022-07-31,11,2022 Q3,Jul 2022
"Angola",2022-08-31,11,2022 Q3,Aug 2022
"Angola",2022-09-30,11,2022 Q3,Sep 2022
"Angola",2022-10-31,11,2022 Q4,Oct 2022
"Angola",2022-11-30,11,2022 Q4,Nov 2022
"Angola",2022-12-31,11,2022 Q4,Dec 2022
"Angola",2023-01-31,11,2023 Q1,Jan 2023
"Angola",2023-02-28,11,2023 Q1,Feb 2023
"Angola",2023-03-31,11,2023 Q1,Mar 2023
"Angola",2023-04-30,11,2023 Q2,Apr 2023
"Angola",2023-05-31,11,2023 Q2,May 2023
"Angola",2023-06-30,11,2023 Q2,Jun 2023
"Angola",2023-07-31,11,2023 Q3,Jul 2023
"Angola",2023-08-31,11,2023 Q3,Aug 2023
"Angola",2023-09-30,11,2023 Q3,Sep 2023
"Angola",2023-10-31,11,2023 Q4,Oct 2023
"Angola",2023-11-30,11,2023 Q4,Nov 2023
"Angola",2023-12-31,11,2023 Q4,Dec 2023
"Angola",2024-01-31,11,2024 Q1,Jan 2024
"Angola",2024-02-29,11,2024 Q1,Feb 2024
"Angola",2024-03-31,11,2024 Q1,Mar 2024
"Angola",2024-04-30,11,2024 Q2,Apr 2024
"Angola",2024-05-31,11,2024 Q2,May 2024
"Angola",2024-06-30,11,2024 Q2,Jun 2024
"Angola",2024-07-31,11,2024 Q3,Jul 2024
"Angola",2024-08-31,11,2024 Q3,Aug 2024
"Angola",2024-09-30,11,2024 Q3,Sep 2024
"Angola",2024-10-31,11,2024 Q4,Oct 2024
"Angola",2024-11-30,11,2024 Q4,Nov 2024
"Argentina",2022-04-30,22,2022 Q2,Apr 2022
"Argentina",2022-05-31,22,2022 Q2,May 2022
"Argentina",2022-06-30,22,2022 Q2,Jun 2022
"Argentina",2022-07-31,22,2022 Q3,Jul 2022
"Argentina",2022-08-31,22,2022 Q3,Aug 2022
"Argentina",2022-09-30,22,2022 Q3,Sep 2022
"Argentina",2022-10-31,22,2022 Q4,Oct 2022
"Argentina",2022-11-30,22,2022 Q4,Nov 2022
"Argentina",2022-12-31,22,2022 Q4,Dec 2022
"Argentina",2023-01-31,22,2023 Q1,Jan 2023
"Argentina",2023-02-28,22,2023 Q1,Feb 2023
"Argentina",2023-03-31,20,2023 Q1,Mar 2023
"Argentina",2023-04-30,20,2023 Q2,Apr 2023
"Argentina",2023-05-31,20,2023 Q2,May 2023
